"729";"6796 8296 4350 6601";"DINERS";"1081";"utazás";"5382368075";"300247";"HUF";"True";"1522566391.0"
"136";"7709 6089 2011 2211";"MASTERCARD";"1041";"elektronikai";"5382367482";"201446";"HUF";"True";"1522566407.0"
"196";"2816 5643 9173 3527";"VISA";"1072";"könyv";"5382367542";"2639";"HUF";"True";"1522566592.0"
"815";"6549 0995 6522 6838";"MASTERCARD";"1010";"étterem";"5382368161";"5507";"HUF";"True";"1522566973.0"
"449";"1927 9538 8360 7966";"VISA";"1052";"üzemanyag";"5382367795";"11907";"HUF";"True";"1522567187.0"
"609";"7288 8256 3637 2972";"AMEX";"1041";"elektronikai";"5382367955";"207771";"HUF";"True";"1522567331.0"
"768";"6537 4632 9979 0000";"MAESTRO";"1081";"utazás";"5382368114";"133702";"HUF";"True";"1522567338.0"
"788";"5741 4402 9019 0403";"DINERS";"1030";"egészség";"5382368134";"26991";"HUF";"True";"1522567838.0"
"644";"9589 4857 3565 3026";"VISA";"1061";"szórakozás";"5382367990";"3139";"HUF";"True";"1522567899.0"
"740";"2816 5643 9173 3527";"VISA";"1010";"étterem";"5382368086";"8972";"HUF";"True";"1522567955.0"
"611";"7288 8256 3637 2972";"AMEX";"1030";"egészség";"5382367957";"22765";"HUF";"True";"1522568089.0"
"525";"6183 7663 6696 4417";"JCB";"1041";"elektronikai";"5382367871";"27888";"HUF";"True";"1522568197.0"
"366";"1061 8952 3629 3756";"AMEX";"1060";"szórakozás";"5382367712";"6819";"HUF";"True";"1522568260.0"
"472";"1572 7481 8331 8117";"DINERS";"1002";"élelmiszer";"5382367818";"11852";"HUF";"True";"1522568290.0"
"710";"3513 5587 0790 4245";"JCB";"1060";"szórakozás";"5382368056";"2764";"HUF";"True";"1522568369.0"
"736";"6796 8296 4350 6601";"DINERS";"1002";"élelmiszer";"5382368082";"32726";"HUF";"True";"1522568502.0"
"415";"5432 0969 8528 5273";"MASTERCARD";"1030";"egészség";"5382367761";"4906";"HUF";"True";"1522568590.0"
"389";"4214 5019 8533 7127";"AMEX";"1081";"utazás";"5382367735";"291604";"HUF";"True";"1522568614.0"
"253";"1254 5059 1616 9509";"AMEX";"1071";"könyv";"5382367599";"4431";"HUF";"True";"1522568736.0"
"671";"2860 2583 2303 0771";"AMEX";"1010";"étterem";"5382368017";"7106";"HUF";"True";"1522569007.0"
"742";"2816 5643 9173 3527";"VISA";"1002";"élelmiszer";"5382368088";"7809";"HUF";"True";"1522569174.0"
"823";"3282 5603 8864 0421";"DINERS";"1062";"szórakozás";"5382368169";"2310";"HUF";"True";"1522569386.0"
"8";"8838 0335 6016 7698";"AMEX";"1051";"üzemanyag";"5382367354";"19043";"HUF";"True";"1522569440.0"
"529";"6183 7663 6696 4417";"JCB";"1020";"ruházat";"5382367875";"5634";"HUF";"True";"1522569562.0"
"325";"4044 4188 1896 5841";"DINERS";"1071";"könyv";"5382367671";"4790";"HUF";"True";"1522569936.0"
"558";"2570 5666 1480 7882";"JCB";"1010";"étterem";"5382367904";"2514";"HUF";"True";"1522570168.0"
"746";"2816 5643 9173 3527";"VISA";"1002";"élelmiszer";"5382368092";"4905";"HUF";"True";"1522570283.0"
"474";"1572 7481 8331 8117";"DINERS";"1040";"elektronikai";"5382367820";"249274";"HUF";"True";"1522570454.0"
"135";"7709 6089 2011 2211";"MASTERCARD";"1030";"egészség";"5382367481";"38343";"HUF";"True";"1522570725.0"
"59";"2819 6230 7299 5558";"MAESTRO";"1082";"utazás";"5382367405";"309616";"HUF";"True";"1522570758.0"
"608";"7288 8256 3637 2972";"AMEX";"1061";"szórakozás";"5382367954";"1860";"HUF";"True";"1522570790.0"
"475";"1572 7481 8331 8117";"DINERS";"1030";"egészség";"5382367821";"2219";"HUF";"True";"1522570852.0"
"108";"3838 6738 3719 0641";"VISA";"1022";"ruházat";"5382367454";"10071";"HUF";"True";"1522570873.0"
"349";"7631 6500 2351 1216";"JCB";"1041";"elektronikai";"5382367695";"201842";"HUF";"True";"1522570890.0"
"501";"8717 1146 8787 8902";"JCB";"1012";"étterem";"5382367847";"8457";"HUF";"True";"1522570911.0"
"100";"9058 9086 6359 9008";"JCB";"1021";"ruházat";"5382367446";"18778";"HUF";"True";"1522570926.0"
"808";"6607 6809 6131 3326";"MAESTRO";"1030";"egészség";"5382368154";"10524";"HUF";"True";"1522571061.0"
"274";"8259 1480 8410 4863";"VISA";"1062";"szórakozás";"5382367620";"1299";"HUF";"True";"1522571149.0"
"824";"5973 4163 4381 6325";"JCB";"1082";"utazás";"5382368170";"288329";"HUF";"True";"1522571157.0"
"444";"8047 8008 1473 2614";"JCB";"1052";"üzemanyag";"5382367790";"5245";"HUF";"True";"1522571297.0"
"305";"7288 8256 3637 2972";"AMEX";"1021";"ruházat";"5382367651";"22716";"HUF";"True";"1522571327.0"
"139";"7899 9132 6289 7137";"JCB";"1040";"elektronikai";"5382367485";"84018";"HUF";"True";"1522571389.0"
"97";"9058 9086 6359 9008";"JCB";"1001";"élelmiszer";"5382367443";"20940";"HUF";"True";"1522571440.0"
"730";"6796 8296 4350 6601";"DINERS";"1082";"utazás";"5382368076";"136085";"HUF";"True";"1522571456.0"
"63";"2819 6230 7299 5558";"MAESTRO";"1062";"szórakozás";"5382367409";"1931";"HUF";"True";"1522571653.0"
"408";"5673 7485 3302 3647";"VISA";"1071";"könyv";"5382367754";"5775";"HUF";"True";"1522571912.0"
"369";"3624 9170 6016 6834";"AMEX";"1002";"élelmiszer";"5382367715";"35162";"HUF";"True";"1522572023.0"
